catalog,g60
3150,6.420009
3150,6.563604
3150,6.293884
401,9.299141
401,9.636729
401,9.549516
16,6.8787
16,7.570926
16,7.258767
399,5.35629
399,5.259085
399,5.156147
1403,5.009331
1403,5.148491
1403,5.176466
1948,11.28315
1948,11.49837
1948,10.52145
2605,8.166821
2605,8.191276
2605,8.391
1011,8.291969
1011,7.734252
1011,7.882285
1015,9.530376
1015,8.957758
1015,8.893311
1529,9.676962
1529,9.733633
1529,9.700953
967,52.12081
967,53.29862
967,51.60218
3053,46.96521
3053,53.01168
3053,46.8992
2181,7.977655
2181,8.235007
2181,7.993609
3048,67.94389
3048,68.66167
3048,66.79108
1835,11.18107
1835,9.519352
1835,10.43515
2300,14.24198
2300,15.20773
2300,13.46067
2417,11.25767
2417,10.99247
2417,11.69961
2525,11.9064
2525,11.40162
2525,11.267
3050,12.41421
3050,12.96508
3050,13.71802
117,48.23056
117,47.65649
117,49.26939
2940,55.73986
2940,56.84357
2940,58.12098
2925,61.11794
2925,62.34252
2925,64.26653
105,27.03567
105,27.95667
105,28.7055
328,39.01327
328,47.97169
328,44.37212
1040,58.63115
1040,61.54386
1040,56.46029
2472,31.39652
2472,18.24848
2472,25.41654
2926,62.28136
2926,62.77517
2926,66.9126
2930,42.44455
2930,40.11538
2930,41.88739
2959,37.43829
2959,38.08229
2959,34.51367
2963,46.85979
2963,46.08228
2963,45.21641
2358,49.31476
2358,48.34885
2358,49.85522
973,9.989307
973,9.839183
973,9.198482
4269,44.03276
4269,41.84637
4269,40.66779
1424,94.26584
1424,94.64071
1424,92.55238
2375,5.322016
2375,5.423352
2375,5.45847
4279,59.60699
4279,58.01794
4279,58.45471
229,4.520869
229,18.78886
229,18.34358
154,35.29502
154,35.06239
154,35.80649
112,13.51012
112,13.93359
112,14.01264
150,57.82214
150,57.9398
150,56.36552
4246,7.222677
4246,7.460718
4246,7.352781
4780,7.516428
4780,7.475142
4780,7.326089
1972,68.17487
1972,66.47593
1972,67.61669
161,11.12771
161,10.61712
161,11.38187
5138,10.98775
5138,10.63978
5138,11.37513
2471,47.8955
2471,42.62664
2471,42.59635
2469,42.14824
2469,44.84402
2469,43.13126
2470,45.40649
2470,44.89711
2470,50.56582
1442,10.37547
1442,11.01922
1442,10.62615
15,10.14313
15,9.732016
15,10.00474
1475,10.85593
1475,10.36574
1475,10.40487
2014,57.15658
2014,54.35094
2014,53.94046
2477,54.15549
2477,59.01927
2477,58.04623
1556,8.083799
1556,10.5097
1556,10.80272
2039,10.53223
2039,10.89967
2039,12.26906
2475,3.256962
2475,3.276078
2475,11.69496
2478,12.50505
2478,11.86312
2478,11.70166
4275,14.67502
4275,14.91199
4275,13.81769
244,7.509006
244,7.092756
244,6.447588
1690,6.449255
1690,6.870714
1690,6.745016
3115,11.03663
3115,10.57732
3115,11.6422
3116,7.425248
3116,7.344818
3116,7.495225
3117,11.32474
3117,12.44803
3117,11.7064
239,7.653537
239,7.817484
239,8.07615
240,9.02695
240,8.795415
240,8.785138
1010,5.520852
1010,5.660667
1010,5.587227
1013,5.34395
1013,5.406281
1013,5.603537
1014,9.016484
1014,9.554324
1014,9.489732
1016,9.771767
1016,9.828569
1016,9.600739
1017,10.10497
1017,10.09981
1017,9.405045
2473,10.08743
2473,10.51115
2473,9.826393
2474,9.017481
2474,8.705008
2474,8.167643
2931,8.837399
2931,9.208481
2931,9.466802
2932,7.459704
2932,7.278366
2932,7.070892
1689,8.147381
1689,8.19484
1689,8.069143
5158,11.33094
5158,11.46855
5158,11.33665
5159,12.10155
5159,10.75622
5159,11.01878
2175,46.50955
2175,48.11883
2175,45.76297
2176,49.09076
2176,55.50926
2176,53.40969
4291,52.43332
4291,47.56872
4291,49.50881
4292,56.70811
4292,56.16596
4292,48.03939
269,42.34159
269,42.93452
269,40.9925
270,46.56915
270,46.99812
270,46.7808
325,41.76656
325,42.94378
325,38.2705
326,43.93408
326,42.92509
326,32.11206
1685,52.31334
1685,22.00946
1685,56.18763
1687,42.06271
1687,21.98021
1687,47.92496
1800,46.04971
1800,48.46673
1800,49.00049
2188,41.71823
2188,53.87483
2188,57.24886
2194,67.20256
2194,64.93449
2194,52.89995
2224,48.38545
2224,48.7766
2224,44.34519
2188,41.97816
2188,53.72416
2188,57.18752
2194,49.99899
2194,63.43363
2194,66.86097
2224,47.79181
2224,48.35308
2224,40.95584
2362,40.43523
2362,46.34928
2362,49.69376
2363,50.32822
2363,36.35636
2363,37.38551
2364,38.27998
2364,36.52818
2364,39.92263
2476,63.11004
2476,61.6353
2476,62.06028
2545,62.23713
2545,58.18581
2545,56.79713
2766,38.54755
2766,40.46176
2766,37.59448
2962,43.02586
2962,37.24784
2962,43.792
146,6.313798
146,6.857215
146,6.554399
2013,41.32607
2013,43.44448
2013,44.43712
182,3.90357
182,13.54257
182,10.36735
203,8.987884
203,7.987847
203,11.50089
204,10.14718
204,10.07832
204,10.26644
187,7.338163
187,7.488072
187,7.117418
4833,44.24487
4833,45.57031
4833,47.98228
4832,44.35848
4832,44.00713
4832,45.42372
4880,5.898451
4880,5.901239
4880,5.876883
294,11.18814
294,12.64109
294,14.68213
2068,50.02053
2068,49.17387
2068,45.26815
249,12.58031
249,12.74122
249,13.0662
2748,10.3612
2748,10.33745
2748,9.679142
4270,49.29835
4270,46.58213
4270,45.57657
1799,39.44356
1799,42.80948
1799,42.9564
1798,51.87134
1798,51.09813
1798,47.20232
207,9.352744
207,9.179415
207,10.15435
136,29.26626
136,28.89132
136,32.58175
137,22.68979
137,27.38683
137,23.93876
345,45.13604
345,35.87795
345,46.93459
400,4.828624
400,5.051249
400,6.675837
1817,12.4414
1817,11.66576
1817,12.44232
1820,9.340692
1820,9.335055
1820,9.428185
4192,66.37663
4192,66.05243
4192,65.39671
3063,7.038315
3063,6.643959
3063,6.621181
1840,17.7471
1840,17.276
1840,17.41372
1941,10.25901
1941,10.68907
1941,10.90177
82,37.71324
82,37.09106
82,35.16462
216,29.58698
216,31.90285
216,26.81189
241,32.63782
241,43.53888
241,51.63173
242,50.2245
242,41.80113
242,46.83483
243,49.22132
243,43.25287
243,44.39793
1009,27.6619
1009,26.04846
1009,26.24011
2231,77.16856
2231,77.85674
2231,75.24277
81,8.996489
81,8.070621
81,8.084294
1852,9.375223
1852,9.472994
1852,9.401214
1741,88.28218
1741,87.72791
1741,87.08679
4972,9.963331
4972,10.05027
4972,10.27324
4973,9.905167
4973,10.48356
4973,10.39772
314,53.8634
314,54.41103
314,50.89637
315,68.79386
315,61.93956
315,63.06702
316,65.86396
316,66.95878
316,65.47643
317,57.85308
317,60.86739
317,60.63113
354,53.59428
354,51.8835
354,51.58133
338,52.47462
338,53.99917
338,52.33974
339,61.57392
339,63.56005
339,61.48841
2245,58.63462
2245,58.61044
2245,62.48519
2255,51.4556
2255,59.46677
2255,48.89211
2419,26.21519
2419,25.1683
2419,27.16206
1969,57.12842
1969,58.51848
1969,59.67699
2100,66.74034
2100,67.7398
2100,66.80519
2103,49.0668
2103,47.2244
2103,56.46591
2070,90.02488
2070,97.16992
2070,96.27295
3099,57.15056
3099,61.53736
3099,49.86166
3072,46.84661
3072,54.36674
3072,77.26515
1763,33.42726
1763,33.26029
1763,29.59884
2424,46.09567
2424,47.58596
2424,46.82381
1764,96.64854
1764,96.48338
1764,97.43887
179,42.08232
179,43.24853
179,40.34776
2976,21.61784
2976,23.99024
2976,21.43679
1411,41.22083
1411,35.28649
1411,42.01411
1412,37.70193
1412,37.06482
1412,35.11317
1414,39.38155
1414,44.3326
1414,45.0584
1415,33.6101
1415,40.96735
1415,33.91756
1416,44.99197
1416,42.71313
1416,37.63799
1527,37.7134
1527,35.82266
1527,35.98094
1483,27.75333
1483,30.12778
1483,27.77467
1484,32.54577
1484,32.27782
1484,31.58095
1485,31.39297
1485,29.87957
1485,31.27252
1486,29.14489
1486,28.91746
1486,27.90299
1487,28.96393
1487,29.61872
1487,28.48247
1488,29.67656
1488,28.94681
1488,27.93018
1489,31.74018
1489,30.35996
1489,31.42373
1490,30.78729
1490,32.61518
1490,32.45483
1491,30.52326
1491,30.76672
1491,32.32913
1492,29.2327
1492,29.82972
1492,28.47363
1493,29.23726
1493,29.6227
1493,30.30969
1494,32.12893
1494,32.25499
1494,32.31229
3123,55.76429
3123,32.39492
3123,44.94912
2441,97.57392
2441,97.56071
2441,97.5009
313,20.0705
313,27.8393
313,23.76292
1965,92.11614
1965,93.02554
1965,92.69304
331,91.4953
331,91.25205
331,91.9495
5061,92.20528
5061,92.20445
5061,93.74765
2262,41.27718
2262,43.80381
2262,37.38021
312,34.29814
312,32.0178
312,36.43464
234,7.839472
234,7.878208
234,8.13349
2263,9.142926
2263,8.974693
2263,7.87632
2389,13.29164
2389,14.16873
2389,13.31823
333,40.31016
333,34.91683
333,33.97901
5125,47.18794
5125,54.71492
5125,55.97639
347,109.385
347,105.8212
347,106.2836
2171,55.82505
2171,49.30346
2171,53.23533
337,4.071794
337,4.534033
337,4.393795
1680,97.14962
1680,95.22602
1680,96.19006
3122,79.74448
3122,79.50743
3122,81.45377
275,94.97691
275,94.79604
275,93.96186
2435,8.224342
2435,8.237636
2435,8.418754
4961,46.41502
4961,48.18805
4961,48.80289
2016,96.1852
2016,93.63888
2016,95.06668
5095,92.50112
5095,93.60262
5095,92.62106
2499,95.28335
2499,97.09641
2499,97.90883
3166,16.62548
3166,17.23707
3166,16.85177
346,55.42352
346,57.05165
346,55.78199
4117,51.4193
4117,63.75849
4117,51.30323
123,94.88503
123,95.10912
123,95.14331
2200,22.07112
2200,22.43735
2200,22.06674
2201,21.49744
2201,20.82602
2201,21.14729
2201,21.92402
2201,24.5145
2201,22.4369
2239,6.756269
2239,7.063393
2239,7.683326
2241,19.01489
2241,19.23479
2241,19.81656
2627,59.11737
2627,61.73473
2627,59.11152
2491,4.85976
2491,4.903565
2491,5.042892
2535,17.69681
2535,18.64559
2535,20.41433
2492,4.826603
2492,4.738008
2492,4.539747
3155,4.05274
3155,4.004533
3155,4.515312
144,34.93297
144,34.04958
144,33.76974
4140,54.18958
4140,47.89965
4140,49.51248
895,55.12915
895,57.58015
895,59.59362
1387,62.50909
1387,63.92977
1387,61.25822
1512,9.388827
1512,10.51235
1512,8.941717
1518,55.43403
1518,57.18786
1518,58.0794
2368,54.31607
2368,57.98396
2368,56.82043
1480,6.023829
1480,6.030549
1480,6.090359
2041,53.35656
2041,55.86087
2041,58.57441
4901a,18.39377
4901a,17.80699
4901a,18.16593
4901b,15.12431
4901b,14.09928
4901b,15.08029
4901c,13.91479
4901c,14.20638
4901c,13.28496
2234,63.7696
2234,63.82578
2234,64.33691
4151,68.873
4151,69.21699
4151,68.663
2439,18.25024
2439,19.7018
2439,19.13076
2168,33.66148
2168,45.50344
2168,54.43278
86,60.52871
86,52.3654
86,53.18781
172,70.03564
172,70.40618
172,70.78307
175,67.12162
175,70.27423
398,65.71535
398,66.26629
398,64.34652
1541,54.144
1541,52.79666
1541,56.51019
1671,66.13255
1671,71.17181
