catalog,g60
10,4.479783
100,3.624642
1000,19.83469
1001,40.59092
1002,2.629229
1003,41.45482
1004,10.51353
1007a,88.45119
1007b,85.69278
1007c,19.51934
1007d,90.73209
1007e,12.70309
1007f,14.73324
1007g,86.71999
1007h,21.30519
1007i,14.03221
1007j,90.62063
1007k,92.98425
1007l,15.41453
1007m,13.00939
1007n,94.69843
1007o,15.04828
1007p,92.20178
1007q,92.29955
1007r,27.72501
1007s,15.82108
1007t,12.69694
1007u,93.51247
1007v,3.461182
1007w,16.80414
1007x,17.12984
1008a,7.830747
1008b,10.92876
1008c,15.09686
1008d,3.839989
1008e,6.006505
1008f,6.671943
1008g,3.992419
1008h,8.262983
1008i,2.41414
1008j,2.991494
1008k,3.930414
1008l,3.384799
1008m,5.155631
1008n,5.853319
1008o,11.21782
1008p,6.86848
1008q,1.753154
1008r,39.86265
1008s,5.972798
1008t,12.93156
1008u,52.9398
1008v,1.868936
1009,26.24011
1010,5.587227
1011,7.882285
1012,32.87514
1013,5.406281
1014,9.489732
1015,8.957758
1016,9.771767
1017,10.09981
1018,4.010266
1019,50.18142
102,58.53059
1020,40.26357
1021,5.426616
1025,59.06444
1026,30.21858
1028,63.45813
1029,59.23014
103,10.15804
1030,23.7583
1033,42.07076
1034,93.52643
1035,25.61448
1036,34.29456
1037,76.04561
1038,43.21613
1039,84.95737
104,27.9463
1040,58.63115
105,27.95667
106,31.77229
107,48.05841
108,38.72027
109,63.05759
11,9.255589
110,48.74689
111,56.39571
112,13.93359
113,6.185472
115,59.87507
116,62.2257
117,48.23056
118,54.25431
119,11.84727
120,94.94874
121,33.47453
122,98.14624
1223,41.27482
123,95.10912
124,48.05145
125,9.365667
126,56.79453
128,6.114184
129,62.25845
13,41.16193
130,7.484579
131,16.19821
132,57.64864
133,9.136509
134,41.03097
135,43.85759
136,29.26626
137,23.93876
138,42.79343
1380,7.91526
1381,8.484116
1382,48.52072
1383,10.47903
1384,8.997786
1385,35.52869
1386,27.26404
1387,62.50909
1388,9.110947
1389,55.94446
139,54.70252
1390,15.3301
1391,57.47393
1392,9.578151
1393,52.58083
1394,52.00333
1395,7.55596
1396,49.57798
1397,7.881595
1398,8.713266
1399,37.36086
140,3.889833
1400,11.5169
1401,10.85628
1402,6.193983
1403,5.148491
1405,67.06042
1406,54.58039
1407,6.367239
1408,95.76772
1409,41.02711
141,50.6839
1410,25.31988
1411,41.22083
1412,37.06482
1413,32.36362
1414,44.3326
1415,33.91756
1416,42.71313
1417,8.564925
1418,42.76546
1419,9.862474
142,63.03162
1420,9.840034
1422,6.821753
1423,9.371634
1424,94.26584
1425,47.13378
1426,9.882336
1427,9.010428
1428,8.920992
1429,60.07394
143,35.48994
1430,9.398828
1431,6.3482
1432,6.988413
1433,9.173555
1434,8.856596
1435,8.223717
1436,9.966036
1437,4.399528
1439,21.38784
144,34.04958
1440,8.675304
1441,8.910309
1442,10.62615
1443,8.539044
1444,58.17249
1445,48.71432
1446,7.710085
1447,12.74553
1448,9.835836
1449,4.178939
145,49.90302
1450,14.98033
1451,27.85241
1452,17.57539
1453,8.566293
1454,32.49037
1455,12.56157
1456,4.172484
1457,16.43975
1458,52.24576
1459,51.22952
146,6.554399
1460,11.17867
1461,56.826565
1462,60.22919
1463,61.71802
1464,61.56326
1465,70.67408
1466,67.45556
1467,71.65339
1468,54.67537
1469,51.98339
