,localpath,roughness
15700,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2212f_ab_2.tif,0.0100185761860687
15701,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2212g_ab_0.tif,0.0255085348770556
15702,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2212g_ab_1.tif,0.0253372949473605
15703,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2212g_ab_2.tif,0.0260683636802849
15704,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2546a_ft_0.tif,0.0182039247278546
15705,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2546a_ft_1.tif,0.0193404037998049
15706,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2546a_ft_2.tif,0.019849299424152
15707,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2546b_ft_0.tif,0.0891231938293557
15708,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2546b_ft_1.tif,0.0904124810746118
15709,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2546b_ft_2.tif,0.0880128064791043
15710,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2546c_ft_0.tif,0.0252348062659398
15711,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2546c_ft_1.tif,0.0252488854466696
15712,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2546c_ft_2.tif,0.0250763936510695
15713,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2546d_fb_0.tif,0.0160129076521029
15714,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2546d_fb_1.tif,0.0166050709521277
15715,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2546d_fb_2.tif,0.0169735708153059
15716,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2546e_fb_0.tif,0.2931432696219082
15717,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2546e_fb_1.tif,0.0162165813294426
15718,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2546e_fb_2.tif,0.0163052736730275
15719,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2546f_fs_0.tif,0.0064299930040498
15720,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2546f_fs_1.tif,0.0063602565497538
15721,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2546f_fs_2.tif,0.006358163733506
15722,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2546g_fs_0.tif,0.0054687334941305
15723,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2546g_fs_1.tif,0.0053931463602041
15724,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2546g_fs_2.tif,0.0056246639968336
15725,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2546h_fs_0.tif,0.0083353806646023
15726,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2546h_fs_1.tif,0.0083607662332635
15727,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2546h_fs_2.tif,0.0085866918713142
15728,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2546i_ft_0.tif,0.0307890979974933
15729,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2546i_ft_1.tif,0.0306254462470974
15730,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2546i_ft_2.tif,0.0322302018393378
15731,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2563a_kv_0.tif,0.0068615049796306
15732,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2563a_kv_1.tif,0.006708874035692
15733,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2563a_kv_2.tif,0.0065608217654923
15734,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2563b_kv_0.tif,0.0218381631126493
15735,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2563b_kv_1.tif,0.0213651147616934
15736,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2563b_kv_2.tif,0.0214295695965214
15737,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2563c_kf_0.tif,0.023580403480844
15738,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2563c_kf_1.tif,0.0253787537106543
15739,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2563c_kf_2.tif,0.0243777520157393
15740,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2563d_kf_0.tif,0.0644655872941774
15741,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2563d_kf_1.tif,0.0640759530531604
15742,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2563d_kf_2.tif,0.0644075102543633
15743,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2563e_kf_0.tif,0.065869512408374
15744,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2563e_kf_1.tif,0.0727380151200952
15745,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2563e_kf_2.tif,0.0699348934851851
15746,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2563f_kb_0.tif,0.0188409553151679
15747,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box6.1_jd/2563f_kb_1.tif,0.0180149382207295
