catalog,measurements
5612a_ll,"[0.28, 0.31, 0.29]"
5612b_ll,"[0.26, 0.24, 0.33]"
5612c_ll,"[0.2, 0.19, 0.22]"
5612d_ll,"[0.31, 0.34, 0.33]"
5612e_ll,"[0.35, 0.36, 0.37]"
5612f_ll,"[0.39, 0.4, 0.39]"
5612g_ll,"[0.29, 0.27, 0.26]"
5612h_ll,"[0.54, 0.53, 0.45]"
5612i_ll,"[0.38, 0.34, 0.35]"
5612j_ll,"[0.42, 0.37, 0.4]"
5612k_ll,"[0.33, 0.56, 0.55]"
5612l_ll,"[0.4, 0.42, 0.41]"
5612m_ll,"[0.56, 0.55, 0.45]"
5612n_ll,"[0.35, 0.31, 0.39]"
5612o_ll,"[0.44, 0.48, 0.4]"
5612p_lg,"[0.34, 0.33, 0.44]"
5612q_lg,"[0.38, 0.44, 0.47]"
5612r_lg,"[0.38, 0.34, 0.39]"
5612s_lg,"[0.49, 0.39, 0.48]"
5612t_lg,"[0.36, 0.37, 0.42]"
5612u_lg,"[0.46, 0.48, 0.36]"
5609a_al,"[0.26, 0.3, 0.28]"
5609b_al,"[0.25, 0.26, 0.21]"
5609c_al,"[0.26, 0.46, 0.34]"
5609d_al,"[0.35, 0.37, 0.31]"
5609e_al,"[0.37, 0.32, 0.26]"
5609f_al,"[0.31, 0.3, 0.35]"
5609g_al,"[0.36, 0.28, 0.37]"
5609h_ab,"[0.33, 0.3, 0.33]"
5609i_ab,"[0.21, 0.22, 0.23]"
5609j_ab,"[0.31, 0.32, 0.33]"
5609k_ab,"[0.22, 0.23, 0.21]"
5609l_ab,"[0.2, 0.18, 0.19]"
5609m_ab,"[0.32, 0.31, 0.37]"
5609n_ab,"[0.37, 0.38, 0.33]"
5609o_ab,"[0.38, 0.37, 0.34]"
5609p_ab,"[0.31, 0.3, 0.32]"
5609q_ab,"[0.32, 0.31, 0.35]"
5609r_ap,"[0.37, 0.35, 0.39]"
5609s_ab,"[0.28, 0.3, 0.33]"
5609t_ap,"[0.39, 0.43, 0.42]"
5609u_ap,"[0.32, 0.3, 0.33]"
5611a_kn,"[0.19000000000000003, 0.18000000000000002, 0.19000000000000003, 0.15]"
5611b_kr,"[0.29000000000000004, 0.31000000000000005, 0.31999999999999995, 0.15]"
5611c_kr,"[0.31999999999999995, 0.36, 0.35, 0.16]"
5611d_kc,"[0.36, 0.3, 0.46, 0.12]"
5611e_kr,"[0.32, 0.3, 0.3, 0.13]"
5611f_kc,"[0.4, 0.38, 0.43, 0.14]"
5611g_kp,"[0.39, 0.36, 0.33999999999999997, 0.14]"
5611h_kb,"[0.34, 0.32, 0.27999999999999997, 0.31]"
5611i_kp,"[0.26, 0.24, 0.19, 0.14]"
