catalog,thickness
5021a,0.281
5021b,0.278
5021c,0.273
5021d,0.263
5021e,0.336
5021f,0.166
5021g,0.175
5021h,0.276
5021i,0.17
5495a,0.337
5495b,0.308
5495c,0.289
5495d,0.17
5495e,0.162
5495f,0.293
5495g,0.316
5495h,0.376
5495i,0.298
5495j,0.322
5495k,0.336
5495l,0.388
5495m,0.317
5495n,0.294
5495o,0.178
5495p,0.315
5495q,0.309
5495r,0.172
5495s,0.385
5495t,0.297
5495u,0.251
5495v,0.372
5495w,0.386
2080a,0.251
2080b,0.184
2080c,0.265
2080d,0.319
2080e,0.329
2080f,0.176
2080g,0.338
2080h,0.181
2080i,0.326
2080j,0.35
2080k,0.169
2080l,0.186
2080m,0.253
2080n,0.336
1007a,0.183
1007b,0.322
1007c,0.333
1007d,0.307
1007e,0.184
1007f,0.347
1007g,0.176
1007h,0.334
1007i,0.185
1007j,0.311
1007k,0.184
1007l,0.344
1007m,0.381
1007n,0.32
1007o,0.188
1007p,0.188
1007q,0.297
1007r,0.329
1007s,0.191
1007t,0.382
1007u,0.185
1007v,0.25
1007w,0.373
1007x,0.373
2774,0.151
2775,0.152
3188,0.279
4280,0.136
4281,0.269
1453,0.15
2598,0.149
128,0.159
1450,0.143
1451,0.146
55,0.153
2116,0.14
996,0.121
321,0.272
1446,0.156
1839,0.155
2597,0.151
70,0.15
71,0.154
75,0.14
28,0.13
24,0.165
2763,0.159
2772,0.286
72,0.161
1444,0.261
235,0.296
132,0.131
26,0.153
74,0.142
274,0.141
1550,0.166
2450,0.274
3169,0.133
5111,0.265
4937,0.28
2448,0.307
2449,0.142
2006,0.181
2012,0.157
287a,0.252
287b,0.286
287c,0.3
287d,0.25
287e,0.254
287f,0.288
287g,0.294
287h,0.251
5407a,0.244
5407b,0.173
5407c,0.265
5407d,0.162
5407e,0.261
5407f,0.252
5407g,0.257
5407h,0.286
5407i,0.281
5407j,0.263
5407k,0.169
5407l,0.281
5407m,0.174
5407n,0.277
5407o,0.272
5407p,0.258
5407q,0.262
5407r,0.187
5407s,0.163
5407t,0.104
5407u,0.112
290a,0.233
290b,0.249
290c,0.238
290d,0.23
290e,0.236
290f,0.232
290g,0.3
290h,0.304
290i,0.318
290j,0.309
5202a,0.172
5202b,0.276
5202c,0.28
5202d,0.32
5202e,0.286
5202f,0.323
5202g,0.304
1022e,0.31
1022f,0.43
1022i,0.48
872a,0.327
872b,0.328
872c,0.317
872d,0.365
872e,0.184
872f,0.373
872g,0.326
872h,0.185
2211a,0.382
2211b,0.248
2211c,0.253
2211d,0.347
2211e,0.2525
2211f,0.34550000000000003
2211g,0.236
2211h,0.2345
2211i,0.20450000000000002
4903a,0.1295
4903b,0.2425
4903c,0.2365
4903d,0.23299999999999998
4903e,0.321
4903f,0.356
4903g,0.183
4903h,0.4065
4903i,0.3615
4903j,0.3625
2977,0.298
1950,0.172
5161,0.304
1949,0.175
1953,0.181
3114,0.195
2987,0.167
5,0.162
2366,0.178
1973,0.168
3092,0.174
4905,0.17
2954,0.179
1551,0.306
4170,0.298
4173,0.323
238,0.314
3049,0.326
4180,0.175
4183,0.326
4230,0.176
2432,0.171
970,0.337
228,0.175
93,0.166
1505,0.32
879,0.177
202,0.16
107,0.165
205,0.167
2540,0.175
2543,0.191
2544,0.174
10,0.349
8,0.35
2942,0.178
2943,0.182
2944,0.188
1952,0.368
1549,0.337
2310,0.179
5123,0.183
4163,0.172
4176,0.176
3055,0.33
2304,0.26
1526,0.331
2486,0.177
1554,0.321
2303,0.321
1522,0.354
1521,0.34
230,0.173
3149,0.277
4204,0.174
4205,0.167
4206,0.17
4207,0.169
4153,0.222
4154,0.222
4156,0.231
4859,0.279
4152,0.232
4155,0.223
308,0.176
309,0.178
310,0.179
311,0.175
335,0.283
2220,0.289
1037,0.222
254,0.209
1959,0.272
1784,0.279
1742,0.276
5079,0.29
3129,0.3
2628,0.279
3152,0.252
3153,0.25
3154,0.24
3112,0.345
185,0.159
5186,0.273
2236,0.187
1388,0.351
340,0.413
3126,0.236
4114,0.237
3125,0.222
4895,0.172
3124,0.183
888,0.171
2511,0.181
3120,0.16
2782,0.169
3121,0.173
4262,0.168
4263,0.17
2072,0.317
2781,0.17
4264,0.175
4265,0.173
4266,0.161
4267,0.174
4862,0.172
2517,0.171
4257,0.174
5182,0.163
2208,0.292
4136,0.173
379,0.173
126,0.166
855,0.171
2040,0.17
3066,0.256
3082,0.259
2905,0.185
4865,0.253
4866,0.243
4867,0.259
4864,0.238
1540,0.269
1544,0.175
1762,0.206
992,0.23
993,0.231
2035,0.108
2198,0.163
1962,0.348
3119,0.342
3101,0.173
2242,0.232
2243,0.235
2510,0.231
5074,0.235
5075,0.226
5076,0.238
5077,0.232
2509,0.242
5078,0.232
2184,0.167
1963,0.337
3095,0.338
3136,0.34
4268,0.161
3118,0.337
5046,0.23
982,0.237
5045,0.181
263,0.179
3013,0.245
3014,0.243
3036,0.301
3037,0.308
3038,0.303
896,0.172
890,0.258
4870b,0.188
4870a,0.181
4870c,0.203
2498,0.235
1966,0.169
1967,0.171
1968,0.163
2487,0.247
2488,0.25
1732,0.162
988,0.231
2625,0.159
2626,0.156
891,0.168
892,0.16
893,0.162
889,0.192
894,0.195
2233,0.183
3096,0.358
985,0.341
4896,0.172
2145,0.159
2146,0.158
2147,0.162
2148,0.259
2174,0.231
141,0.16
2219,0.274
5144,0.167
4854,0.278
4887,0.291
4886,0.291
307,0.174
353,0.28
1028,0.315
2099,0.296
2017,0.235
2235,0.248
2538,0.247
2092,0.294
2253,0.273
3098,0.236
118,0.24
1679,0.232
884,0.162
885,0.163
1033,0.152
5180,0.357
2071,0.176
984,0.163
343,0.16
2214,0.155
2440,0.231
2539,0.224
1734,0.23
2217,0.235
222,0.348
330,0.322
189,0.164
2206,0.281
4850,0.285
1543,0.163
1546,0.158
1547,0.163
1029,0.247
1030,0.278
3128,0.231
2497,0.231
2166,0.2265
1769,0.247
1770,0.246
2165,0.245
2251,0.247
183,0.272
186,0.267
1957,0.271
377,0.23
184,0.236
1737,0.328
1035,0.236
4254,0.169
1418,0.167
2222,0.17
2402,0.258
986,0.171
1678,0.235
5089,0.239
2904,0.183
4945,0.26049999999999995
261,0.273
348,0.27
119,0.226
4122,0.232
5105,0.227
336,0.289
3141,0.301
2015,0.17
2199,0.276
2250,0.282
3131,0.237
3142,0.285
3143,0.287
3161,0.3
3162,0.283
4121,0.301
4125,0.281
4127,0.291
2069,0.246
3130,0.242
3132,0.255
960,0.248
4231,0.2395
4974,0.265
4272,0.152
1730,0.242
4255,0.189
1408,0.242
2090,0.235
1039,0.24
1034,0.234
4115,0.237
4124,0.244
1036,0.153
2433,0.239
1971,0.157
1409,0.155
3127,0.359
2434,0.231
375,0.159
376,0.158
2170,0.154
3133,0.154
373,0.159
374,0.158
378,0.17
4943,0.252
5192,0.161
3075,0.231
4949,0.239
2403,0.232
2512,0.1815
5092,0.233
4809,0.242
4810,0.239
4812,0.256
1422,0.266
1741,0.228
4972,0.299
4973,0.284
314,0.292
315,0.275
316,0.275
317,0.291
354,0.285
338,0.287
339,0.287
2245,0.288
2255,0.185
2419,0.259
1969,0.283
2100,0.298
2103,0.16
2070,0.244
3099,0.235
3072,0.232
1763,0.235
2424,0.319
1764,0.239
179,0.154
2976,0.232
1411,0.258
1412,0.255
1414,0.26
1415,0.255
1416,0.256
1527,0.252
1483,0.288
1484,0.288
1485,0.288
1486,0.291
1487,0.289
1488,0.29
1489,0.287
1490,0.289
1491,0.287
1492,0.289
1493,0.292
1494,0.288
3123,0.228
2441,0.231
313,0.241
1965,0.241
331,0.25
5061,0.243
2262,0.259
312,0.291
234,0.274
2263,0.29
2389,0.288
333,0.219
5125,0.236
347,0.219
2171,0.168
337,0.249
1680,0.23
3122,0.23
275,0.244
2435,0.24
4961,0.312
2016,0.248
5095,0.24
2499,0.255
3166,0.253
346,0.368
4117,0.238
2609a,0.171
2609b,0.28
2609c,0.305
2609d,0.287
2609e,0.278
2609f,0.276
2609g,0.262
2609h,0.288
2609i,0.274
2609j,0.329
2609k,0.309
2609l,0.169
2609m,0.283
2609n,0.176
2609o,0.288
2609p,0.168
2609q,0.171
2609r,0.244
2609s,0.261
2609t,0.288
2609u,0.089
2609v,0.161
2609w,0.301
2609x,0.17
5505a,0.169
5505b,0.293
5505c,0.295
5505d,0.293
5505e,0.291
5505f,0.28
5505g,0.258
5505h,0.279
5505i,0.272
5505j,0.322
5505k,0.304
5505l,0.17
5505m,0.285
5505n,0.184
5505o,0.288
5505p,0.169
5505q,0.186
5505r,0.267
5505s,0.276
5505t,0.283
5505u,0.093
5505v,0.165
5505w,0.299
5505x,0.167
5301a,0.249
5301b,0.252
5301c,0.249
5301d,0.247
5301e,0.245
5301f,0.241
5301g,0.242
5301h,0.295
5301i,0.296
5301j,0.237
5301k,0.245
5301l,0.246
5301m,0.25
5301n,0.296
5301o,0.299
5301p,0.289
5301q,0.303
5301r,0.301
5530a,0.241
5530b,0.245
5530c,0.247
5530d,0.244
5530e,0.25
5530f,0.287
5530g,0.291
5530h,0.242
5530i,0.245
5530j,0.246
5530k,0.249
5530l,0.314
5530m,0.314
5530n,0.313
5530o,0.318
5530p,0.316
5530q,0.315
5530r,0.472
5302a,0.241
5302b,0.246
5302c,0.248
5302d,0.245
5302e,0.25
5302f,0.329
5302g,0.329
5302h,0.246
5302i,0.245
5302j,0.243
5302k,0.242
5302l,0.314
5302m,0.313
5302n,0.314
5302o,0.317
5302p,0.316
5302q,0.467
2563a,0.241
2563b,0.24
2563c,0.283
2563d,0.276
2563e,0.282
2563f,0.284
2563g,0.291
2563h,0.344
2563i,0.352
288a,0.284
288b,0.186
288c,0.155
288d,0.293
4954a,0.14
4954b,0.18
4954c,0.24
4954d,0.22
4954e,0.22
4954f,0.14
4954g,0.22
4954h,0.23
4954i,0.35
4954j,0.21
4954k,0.27
4954l,0.26
4954m,0.22
4954n,0.18
4954o,0.2
4954p,0.18
905a,0.18
905b,0.11
905c,0.14
905d,0.18
905e,0.24
4789a,0.09
4789b,0.05
4789c,0.12
4789d,0.2
4789e,0.17
4789f,0.15
4789g,0.14
4789h,0.17
4789i,0.06
4789j,0.1
4789k,0.1
4789l,0.17
4789m,0.16
4789n,0.2
905f,0.19
905g,0.13
905h,0.15
905i,0.19
905j,0.27
905k,0.12
905l,0.14
905m,0.14
905n,0.15
5437,0.31
4791a,0.27
4179b,0.3
3146,0.222
3147,0.222
1545,0.142
1038,0.175
1429,0.268
3156,0.239
362,0.239
5056,0.241
5057,0.231
4120,0.238
181,0.327
1771,0.229
2037,0.232
2038,0.232
5024,0.231
4308,0.232
4199,0.293
4200,0.187
342,0.297
3134,0.226
2997,0.166
2998,0.251
2996,0.239
2226,0.245
3167,0.239
2612,0.256
3163,0.235
4260,0.251
4261,0.239
4258,0.256
3033,0.237
2406,0.235
2024,0.242
3064,0.237
2569,0.244
5108,0.248
4932,0.313
4259,0.251
2534,0.244
5106,0.245
5107,0.247
5097,0.245
351,0.251
965,0.289
1766,0.247
5098,0.246
4951,0.373
4952,0.355
4953,0.352
4946,0.242
4944,0.324
4947,0.241
4948,0.236
1860a,0.38
2610,0.357
1860b,0.296
1859,0.373
1860c,0.243
2506,0.253
1860e,0.262
1878,0.233
1860g,0.244
1860f,0.25
1860d,0.231
2505,0.222
2507,0.223
2067,0.275
2254,0.279
2256,0.216
2057,0.299
5194,0.235
1768,0.249
2611,0.253
2496,0.236
1396,0.168
5082,0.244
5083,0.246
1528,0.151
2999,0.287
