cat,mloc,LAB_L,LAB_A,LAB_B,hue,saturation,lightness
17a,dmax,10.84,0.53,0.59,16.465140189020815,0.0323429059022576,0.1149547897623777
17a,dmin,95.01,1.03,1.25,17.640391220182437,0.2000597375540427,0.9452347712703592
17b,dmax,12.23,0.51,0.65,18.34341146253945,0.0313392317605337,0.125849283539597
17b,dmin,94.04,0.84,5.87,34.31819193775641,0.4620388942855603,0.9239157502188104
17c,dmax,6.42,0.8,2.2,29.012709425900823,0.1553416182899079,0.0776982907440309
17c,dmin,92.86,2.48,12.1,32.83048431006978,0.762299585489347,0.9031367161929014
17d,dmax,10.11,0.54,2.33,31.76304542421252,0.0954403523782286,0.1065949174696879
17d,dmin,92.45,2.34,12.76,33.604236959476566,0.7405417740694928,0.8964894125389344
17e,dmax,22.78,0.11,1.02,35.27530866086096,0.0219041796104081,0.2119386518515435
17e,dmin,94.07,0.63,6.01,35.691355954671224,0.4566381153828322,0.9231209064324156
17f,dmax,27.71,0.2,0.18,13.526868513680938,0.0055457215080998,0.2568194290313259
17f,dmin,94.26,0.88,5.81,34.023145248297624,0.4773365829036295,0.9266684633901972
17g,dmax,11.17,0.48,1.18,26.408386985634703,0.0500477259309138,0.1165456696220954
17g,dmin,94.27,0.99,4.91,32.273696249115005,0.4318437843948423,0.9291410013150678
17h,dmax,12.21,0.41,0.7,22.14076170993343,0.0308185059060789,0.1253321209608095
17h,dmin,94.14,1.18,5.01,31.215941717749672,0.4437583407929861,0.9282227019180426
17i,dmax,8.74,0.8,2.06,27.308977617056826,0.1006476681158416,0.097037515290848
17i,dmin,94.36,0.75,3.42,31.576172234237333,0.319998996172452,0.9323348951154552
17j,dmax,21.34,0.4,0.75,23.23311363136844,0.0215765146086516,0.2008718680957778
17j,dmin,94.36,0.81,5.32,33.949003834699454,0.4496240406482522,0.9285625367599536
17k,dmax,22.69,0.29,-0.36,269.97506497325776,0.0059722263370523,0.2132274829759193
17k,dmin,93.51,0.58,7.37,36.797865643012585,0.4880094206683257,0.9137106960474344
17l,dmax,6.77,1.03,0.44,2.7325351107538154,0.0563789160607686,0.0846812471765065
17l,dmin,93.74,1.19,5.69,32.107349868509175,0.4569711363683733,0.9223230924443676
17m,dmax,5.68,0.28,0.94,29.78497753330913,0.0736379090843622,0.0718772890514705
17m,dmin,93.49,0.65,7.45,36.48459419739754,0.4952610107772985,0.9135872362395994
17n,dmax,24.17,0.19,2.8,37.23669535030115,0.0558194283177755,0.2213039106190275
17n,dmin,94.11,-0.31,7.77,41.7032154501228,0.4874645601983489,0.9160447532763892
17o,dmax,25.95,0.25,-0.73,238.0169528946556,0.0098136501379166,0.2427880534264808
17o,dmin,94.28,-0.32,8.69,41.66127676059341,0.5444739906739654,0.915891821250178
17p,dmax,24.71,0.15,2.57,37.53090520441492,0.0500482044226699,0.2262788775616102
17p,dmin,93.96,-0.03,9.34,40.271622428120224,0.5715878774918988,0.9120128271013744
17q,dmax,22.87,0.23,0.34,20.26451464032732,0.0100267080051375,0.2141585616972817
17q,dmin,92.61,1.06,13.4,37.38103708039,0.6967545767097406,0.8919057601172863
3192a,dmax,13.72,1.11,6.25,34.69361758939101,0.2034994995410272,0.1300216012702936
3192a,dmin,90.49,-0.15,2.37,42.18192523180511,0.1098929821424639,0.8876722486352646
3192b,dmax,25.99,0.27,2.33,35.30110181975601,0.0452007897188175,0.2382795531346127
3192b,dmin,91.66,-0.22,2.17,43.948425120596085,0.1111402956888643,0.9008202192520434
3192c,dmax,30.9,0.47,1.11,25.8243487455768,0.0224625402233453,0.2848434212361009
3192c,dmin,90.93,-0.22,3.03,42.68916695659084,0.1435281660285782,0.8909415813486002
3192d,dmax,28.25,0.59,0.83,19.643951548037933,0.0208573875919473,0.261836785724984
3192d,dmin,88.19,1.41,18.7,38.10634956549825,0.6078896781194043,0.8315306241438484
3192e,dmax,16.93,1.4,2.1,20.764105998177115,0.0748683370000788,0.1644217996884873
3192e,dmin,91.09,-0.5,5.67,43.72516668668135,0.2524787435360131,0.886120217465018
3192f,dmax,28.81,0.69,1.18,22.171317051801395,0.0273857998040182,0.2665890017413583
