catalog,localpath,roughness,thickness,g60,LAB_L_dmin,LAB_A_dmin,LAB_B_dmin,LAB_L_dmax,LAB_A_dmax,LAB_B_dmax
10,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder2_jd/10_kv_0.tif,0.0302294503849805,0.349,4.479783,94.4,-0.67,9.29,,,
100,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/100_kv_2.tif,0.0430974853168431,0.154,3.624642,90.91,-1.2,9.9,,,
1000,,,0.332,19.83469,86.8,0.41,8.55,,,
1001,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder4_jd/1001_ac_1.tif,0.0251181063235631,0.161,40.59092,91.35,-0.16,0.38,,,
1002,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1002_dc_1.tif,0.0326766698438735,0.294,2.629229,84.62,-0.0,10.85,,,
1003,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1003_ka_0.tif,0.0293593480827229,0.145,41.45482,87.0,-0.96,15.65,,,
1004,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder4_jd/1004_ac_0.tif,0.0592856283242115,0.343,10.51353,95.01,-1.76,11.09,,,
1006a,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box1.2_jd/1006a_dv_0.tif,0.0108365306026637,0.14,,92.21,-0.83,6.27,12.97,0.51,2.05
1006b,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box1.2_jd/1006b_dv_0.tif,0.0117858186111567,0.17,,92.8,-1.08,8.67,10.09,0.03,2.12
1006c,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box1.2_jd/1006c_dv_0.tif,0.0242199931060311,0.16,,91.93,-1.3,10.99,34.86,-2.11,0.35
1006d,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box1.2_jd/1006d_dv_0.tif,0.0268948245324418,0.19,,90.97,-0.84,12.17,51.12,-3.09,7.15
1006e,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box1.2_jd/1006e_dv_0.tif,0.0581067739515061,0.38,,92.23,-0.23,9.76,60.68,-3.27,-3.5
1006f,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box1.2_jd/1006f_dv_0.tif,0.1016369684767263,0.24,,91.14,-0.51,11.36,58.73,-3.06,-2.59
1006g,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box1.2_jd/1006g_dv_0.tif,0.0609257509364756,0.33,,89.92,-0.44,13.64,37.06,-1.92,-2.5
1006h,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box1.2_jd/1006h_dv_0.tif,0.0881010178991597,0.27,,90.3,-0.23,20.09,43.47,-1.87,-5.17
1006i,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box1.2_jd/1006i_dv_0.tif,0.1059110932426884,0.29,,90.65,-0.74,15.85,43.31,-2.12,-2.92
1006j,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box1.2_jd/1006j_dv_0.tif,0.1152942381657666,0.35,,87.81,0.41,23.84,54.59,-3.21,1.08
1006k,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box1.2_jd/1006k_dv_0.tif,0.1143083982713355,0.39,,90.71,-0.74,16.49,49.97,-3.11,0.89
1006l,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box1.2_jd/1006l_dv_0.tif,0.0315916465224409,0.19,,90.49,-0.71,11.45,23.52,-0.82,-0.32
1006m,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box1.2_jd/1006m_dv_0.tif,0.0681949576767629,0.13,,86.76,-0.14,15.41,44.82,-2.83,-0.13
1006n,/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_box1.2_jd/1006n_dv_0.tif,0.106045667283957,0.15,,90.86,-0.97,12.6,52.54,-2.96,-1.01
