catalog,thickness,g60,LAB_L_dmin,LAB_L_dmax,LAB_A_dmin,LAB_A_dmax,LAB_B_dmin,LAB_B_dmax,logroughness
10,0.349,4.479783,94.4,,-0.67,,9.29,,2.0520857707831506
100,0.154,3.624642,90.91,,-1.2,,9.9,,2.1637308666320316
1000,0.332,19.83469,86.8,,0.41,,8.55,,2.1788125839501222
1001,0.161,40.59092,91.35,,-0.16,,0.38,,1.7921882549013999
1002,0.294,2.629229,84.62,,-0.0,,10.85,,2.1833004817741912
1003,0.145,41.45482,87.0,,-0.96,,15.65,,1.9404775730027963
1004,0.343,10.51353,95.01,,-1.76,,11.09,,2.4520913951859473
1006a,0.14,66.15787735414222,92.21,12.97,-0.83,0.51,6.27,2.05,0.9404463848741762
1006b,0.17,61.39613688793129,92.8,10.09,-1.08,0.03,8.67,2.12,1.016572322298928
1006c,0.16,42.58135617948237,91.93,34.86,-1.3,-2.11,10.99,0.35,1.6877290399201905
1006d,0.19,35.69987455249702,90.97,51.12,-0.84,-3.09,12.17,7.15,1.8604038054341492
1006e,0.38,9.226149771046849,92.23,60.68,-0.23,-3.27,9.76,-3.5,2.483697188323172
1006f,0.24,0.16420912502374563,91.14,58.73,-0.51,-3.06,11.36,-2.59,3.0709460192977187
1006g,0.33,7.648183469525591,89.92,37.06,-0.44,-1.92,13.64,-2.5,2.58102861281653
1006h,0.27,-3.2035061267007734,90.3,43.47,-0.23,-1.87,20.09,-5.17,2.9970193442643724
1006i,0.29,-3.6461272536421205,90.65,43.31,-0.74,-2.12,15.85,-2.92,3.0394099176363474
1006j,0.35,-12.512840952369046,87.81,54.59,0.41,-3.21,23.84,1.08,3.1177143748116696
1006k,0.39,-12.275987781623229,90.71,49.97,-0.74,-3.11,16.49,0.89,3.1438050080124054
1006l,0.19,35.189879655843356,90.49,23.52,-0.71,-0.82,11.45,-0.32,1.8903110021483196
1006m,0.13,9.917158458470666,86.76,44.82,-0.14,-2.83,15.41,-0.13,2.872165365146617
1006n,0.15,-0.8278778851550754,90.86,52.54,-0.97,-2.96,12.6,-1.01,3.2685623353027786
1006o,0.22,9.806184218491623,90.49,29.13,-0.52,-1.76,12.98,-1.96,2.7334836928307076
1006p,0.27,-16.10513859355636,89.09,42.85,-1.22,-1.03,18.41,-8.1,3.494687867565063
1007a,0.183,88.45119,89.25,29.54,-0.72,1.33,5.0,7.61,1.2366024413851042
1007b,0.322,85.69278,89.59,25.3,-0.99,1.92,9.11,8.06,1.06518487147028
1007c,0.333,19.51934,90.26,19.81,-0.93,1.8,12.1,8.09,1.6607310238598174
1007d,0.307,90.73209,91.04,32.58,-0.86,4.01,8.15,10.1,1.0681979963807333
1007e,0.184,12.70309,93.78,26.8,-1.11,1.56,6.31,3.87,1.9362613463590173
1007f,0.347,14.73324,91.39,20.87,-1.2,1.6,8.94,5.57,2.203437106813829
1007g,0.176,86.71999,89.89,25.94,-0.68,2.37,5.8,6.74,1.2398051162084842
1007h,0.334,21.30519,91.93,22.04,-1.08,0.82,9.98,4.81,1.7952719893814526
1007i,0.185,14.03221,92.95,22.46,-1.34,0.97,7.72,3.95,1.7673651675017377
