catalog,roughness,thickness,g60,LAB_L_dmin,LAB_A_dmin,LAB_B_dmin,LAB_L_dmax,LAB_A_dmax,LAB_B_dmax
10,7.784120076127432,0.349,4.479783,94.4,-0.67,9.29,,,
100,8.703548940104392,0.154,3.624642,90.91,-1.2,9.9,,,
1000,,0.332,19.83469,86.8,0.41,8.55,,,
1001,6.002573265690374,0.161,40.59092,91.35,-0.16,0.38,,,
1002,8.87555156655158,0.294,2.629229,84.62,-0.0,10.85,,,
1003,6.962075075922323,0.145,41.45482,87.0,-0.96,15.65,,,
1004,11.612607892772782,0.343,10.51353,95.01,-1.76,11.09,,,
1006a,2.5611244104007924,0.14,,92.21,-0.83,6.27,12.97,0.51,2.05
1006b,2.763705418610699,0.17,,92.8,-1.08,8.67,10.09,0.03,2.12
1006c,5.407187245058469,0.16,,91.93,-1.3,10.99,34.86,-2.11,0.35
1006d,6.426331235038979,0.19,,90.97,-0.84,12.17,51.12,-3.09,7.15
1006e,11.985495235666948,0.38,,92.23,-0.23,9.76,60.68,-3.27,-3.5
1006f,21.56229137317293,0.24,,91.14,-0.51,11.36,58.73,-3.06,-2.59
1006g,13.210719889083869,0.33,,89.92,-0.44,13.64,37.06,-1.92,-2.5
1006h,20.02575798682705,0.27,,90.3,-0.23,20.09,43.47,-1.87,-5.17
1006i,20.89291105860962,0.29,,90.65,-0.74,15.85,43.31,-2.12,-2.92
1006j,22.5946776156746,0.35,,87.81,0.41,23.84,54.59,-3.21,1.08
1006k,23.19194471945352,0.39,,90.71,-0.74,16.49,49.97,-3.11,0.89
1006l,6.621427639076991,0.19,,90.49,-0.71,11.45,23.52,-0.82,-0.32
1006m,17.67525016247867,0.13,,86.76,-0.14,15.41,44.82,-2.83,-0.13
1006n,26.2735396377172,0.15,,90.86,-0.97,12.6,52.54,-2.96,-1.01
1006o,15.38639523747431,0.22,,90.49,-0.52,12.98,29.13,-1.76,-1.96
1006p,32.94000470434517,0.27,,89.09,-1.22,18.41,42.85,-1.03,-8.1
1007a,3.443892737669132,0.183,88.45119,89.25,-0.72,5.0,29.54,1.33,7.61
1007b,2.901375316002373,0.322,85.69278,89.59,-0.99,9.11,25.3,1.92,8.06
1007c,5.263156931779911,0.333,19.51934,90.26,-0.93,12.1,19.81,1.8,8.09
1007d,2.910130706159561,0.307,90.73209,91.04,-0.86,8.15,32.58,4.01,10.1
1007e,6.932783183512271,0.184,12.70309,93.78,-1.11,6.31,26.8,1.56,3.87
1007f,9.056086805372813,0.347,14.73324,91.39,-1.2,8.94,20.87,1.6,5.57
1007g,3.454940087325955,0.176,86.71999,89.89,-0.68,5.8,25.94,2.37,6.74
1007h,6.021112177688715,0.334,21.30519,91.93,-1.08,9.98,22.04,0.82,4.81
1007i,5.855405007003891,0.185,14.03221,92.95,-1.34,7.72,22.46,0.97,3.95
1007j,2.685263247740639,0.311,90.62063,91.8,-1.11,6.89,21.96,2.0,5.86
1007k,3.0935608630046194,0.184,92.98425,89.33,-0.65,5.24,21.72,2.19,7.49
1007l,9.176446369989678,0.344,15.41453,91.11,-0.81,9.94,27.35,2.42,10.82
1007m,12.103024243906097,0.381,13.00939,91.61,-1.19,6.81,30.12,0.25,6.89
