localpath,roughness
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1002_dc_0.tif,0.03331998673478688
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1002_dc_1.tif,0.032676669843873546
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1002_dc_2.tif,0.03238069419624099
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1003_ka_0.tif,0.029359348082722937
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1003_ka_1.tif,0.030118927945261595
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1003_ka_2.tif,0.028728221393860366
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/100_kv_0.tif,0.04051617960683703
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/100_kv_1.tif,0.04487797413907305
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/100_kv_2.tif,0.0430974853168431
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1021_ka_0.tif,0.04275264003805642
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1021_ka_1.tif,0.04260426920060752
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1021_ka_2.tif,0.04382529841357168
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1223_ka_0.tif,0.02692140255566173
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1223_ka_1.tif,0.02713382723416936
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1223_ka_2.tif,0.033232683918735864
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/128_kv_0.tif,0.06334207233720737
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/128_kv_1.tif,0.06149980161494987
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/128_kv_2.tif,0.06614498391428603
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/129_al_0.tif,0.01711254438978507
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/129_al_1.tif,0.017008588019123767
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/129_al_2.tif,0.017573451039879916
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/132_kv_0.tif,0.026482958380167884
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/132_kv_1.tif,0.028259247831291513
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/132_kv_2.tif,0.029384111203161943
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1380_dn_0.tif,0.043178746731594844
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1380_dn_1.tif,0.03865882044457322
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1380_dn_2.tif,0.049442209485593656
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1381_dv_0.tif,0.03977043979935426
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1381_dv_1.tif,0.03415313386567323
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1381_dv_2.tif,0.04298566173392313
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1382_dn_0.tif,0.021429380986490953
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1382_dn_1.tif,0.01909680543440807
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1382_dn_2.tif,0.01850946403023866
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1397_hr_0.tif,0.03067093222635969
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1397_hr_1.tif,0.03271607001267814
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1397_hr_2.tif,0.03165652706746447
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1443_ac_0.tif,0.04629082804089592
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1443_ac_1.tif,0.051960794819666194
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1443_ac_2.tif,0.050540446835105717
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1444_da_0.tif,0.029142481792548854
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1444_da_1.tif,0.026614306285730242
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1444_da_2.tif,0.026477558297493566
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1446_kv_0.tif,0.06072469646145979
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1446_kv_1.tif,0.06015729462104115
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1446_kv_2.tif,0.05682445753243143
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1447_ac_0.tif,0.04706661537324979
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1447_ac_1.tif,0.0537289454514186
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1447_ac_2.tif,0.04693604223557912
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1448_ac_0.tif,0.059355273529840345
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1448_ac_1.tif,0.06069442526139105
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1448_ac_2.tif,0.050227388566124666
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1449_ac_0.tif,0.04014871949972776
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1449_ac_1.tif,0.04291960803631889
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1449_ac_2.tif,0.04135967786407218
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1450_da_0.tif,0.05151887367422666
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1450_da_1.tif,0.046610861287963615
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1450_da_2.tif,0.04577222064141017
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1451_da_0.tif,0.08410724563352406
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1451_da_1.tif,0.10397080261390831
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1451_da_2.tif,0.10088924197298531
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1452_as_0.tif,0.2010387275333724
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1452_as_1.tif,0.20228061267869119
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1452_as_2.tif,0.22014202779712094
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1453_kv_0.tif,0.04865439697206281
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1453_kv_1.tif,0.05079118295069203
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1453_kv_2.tif,0.04894719771765948
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1455_ac_0.tif,0.04779257598804069
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1455_ac_1.tif,0.05367185825218263
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1455_ac_2.tif,0.05148628077556036
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1456_ac_0.tif,0.04683419457367842
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1456_ac_1.tif,0.049074831599860445
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1456_ac_2.tif,0.04728379103893097
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1457_ac_0.tif,0.05429796685622461
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1457_ac_1.tif,0.05338306539065471
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1457_ac_2.tif,0.049746299137984985
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1460_ac_0.tif,0.05152567181879084
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1460_ac_1.tif,0.06144161674655665
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1460_ac_2.tif,0.050274895711451745
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1501_ac_0.tif,0.040083970514459895
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1501_ac_1.tif,0.03923337993764457
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1501_ac_2.tif,0.046341533467479344
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1502_ac_0.tif,0.03488176960686726
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1502_ac_1.tif,0.036254937762014196
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1502_ac_2.tif,0.037333516921693906
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1503_ka_0.tif,0.04983971679237742
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1503_ka_1.tif,0.040906752759837926
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1503_ka_2.tif,0.050699685890856105
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1504_kv_0.tif,0.044054868571216814
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1504_kv_1.tif,0.043283929701017965
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1504_kv_2.tif,0.041827317248338325
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1530_ka_0.tif,0.021594425426912447
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1530_ka_1.tif,0.02087988768462357
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1530_ka_2.tif,0.02088363506105235
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1535_ka_0.tif,0.017735765792467103
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1535_ka_1.tif,0.019777092896900758
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1535_ka_2.tif,0.019784123522970376
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1550_ac_0.tif,0.03333896709426752
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1550_ac_1.tif,0.03265508420725269
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1550_ac_2.tif,0.032338482190529504
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1743_hr_0.tif,0.02685342850881171
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1743_hr_1.tif,0.027856741110879702
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1743_hr_2.tif,0.0274729572085232
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1745_dv_0.tif,0.03399973880132027
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1745_dv_1.tif,0.03888721321545504
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1745_dv_2.tif,0.035201296011343065
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1746_ac_0.tif,0.029820035202463218
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1746_ac_1.tif,0.03217836923770432
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1746_ac_2.tif,0.035026165880750075
