localpath,catalog,roughness
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1002_dc_1.tif,1002,0.0326766698438735
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1003_ka_0.tif,1003,0.0293593480827229
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/100_kv_2.tif,100,0.0430974853168431
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1021_ka_0.tif,1021,0.0427526400380564
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1223_ka_1.tif,1223,0.0271338272341693
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/128_kv_0.tif,128,0.0633420723372073
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/129_al_0.tif,129,0.017112544389785
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/132_kv_1.tif,132,0.0282592478312915
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1380_dn_0.tif,1380,0.0431787467315948
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1381_dv_0.tif,1381,0.0397704397993542
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1382_dn_1.tif,1382,0.019096805434408
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1397_hr_2.tif,1397,0.0316565270674644
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1443_ac_2.tif,1443,0.0505404468351057
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1444_da_1.tif,1444,0.0266143062857302
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1446_kv_1.tif,1446,0.0601572946210411
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1447_ac_0.tif,1447,0.0470666153732497
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1448_ac_0.tif,1448,0.0593552735298403
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1449_ac_2.tif,1449,0.0413596778640721
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1450_da_1.tif,1450,0.0466108612879636
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1451_da_2.tif,1451,0.1008892419729853
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1452_as_1.tif,1452,0.2022806126786911
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1453_kv_2.tif,1453,0.0489471977176594
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1455_ac_2.tif,1455,0.0514862807755603
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1456_ac_2.tif,1456,0.0472837910389309
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1457_ac_1.tif,1457,0.0533830653906547
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1460_ac_0.tif,1460,0.0515256718187908
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1501_ac_0.tif,1501,0.0400839705144598
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1502_ac_1.tif,1502,0.0362549377620141
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1503_ka_0.tif,1503,0.0498397167923774
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1504_kv_1.tif,1504,0.0432839297010179
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1530_ka_2.tif,1530,0.0208836350610523
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1535_ka_1.tif,1535,0.0197770928969007
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1550_ac_1.tif,1550,0.0326550842072526
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1743_hr_2.tif,1743,0.0274729572085232
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1745_dv_2.tif,1745,0.035201296011343
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1746_ac_1.tif,1746,0.0321783692377043
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1747_ac_0.tif,1747,0.0459345875477098
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1786_kv_0.tif,1786,0.0807397854127346
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1787_kv_1.tif,1787,0.0383718571751908
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1788_bb_2.tif,1788,0.0201629641529358
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1822_cp_1.tif,1822,0.0311299795635557
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1839_kv_0.tif,1839,0.0382690988189437
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1981_ka_2.tif,1981,0.0280120953595889
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1982_ks_2.tif,1982,0.0410029685223968
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1983_ka_0.tif,1983,0.0423615187586806
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1985_ka_1.tif,1985,0.033387071963503
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1986_ab_1.tif,1986,0.0710343446634307
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/1989_kp_0.tif,1989,0.0174525743314206
