catalog,T1,T2,T3,t11,t12,t13,t21,t22,t23,t31,t32,t33
294_kodak,,,,,,,,,,,,
5021a_kb,0.284,0.281,0.28,,,,,,,,,
5021b_kb,0.277,0.28,0.278,,,,,,,,,
5021c_kb,0.27,0.273,0.275,,,,,,,,,
5021d_kb,0.266,0.263,0.263,,,,,,,,,
5021e_kb,0.336,0.33,0.337,,,,,,,,,
5021f_kb,0.167,0.166,0.166,,,,,,,,,
5021g_kb,0.176,0.175,0.174,,,,,,,,,
5021h_kb,0.276,0.277,0.274,,,,,,,,,
5021i_kv,0.17,0.173,0.169,,,,,,,,,
5495a_aa,0.337,0.34,0.337,,,,,,,,,
5495b_aa,0.309,0.307,0.308,,,,,,,,,
5495c_aa,0.291,0.289,0.289,,,,,,,,,
5495d_ac,0.17,0.168,0.172,,,,,,,,,
5495e_ac,0.164,0.162,0.162,,,,,,,,,
5495f_ac,0.293,0.293,0.288,,,,,,,,,
5495g_ac,0.316,0.316,0.316,,,,,,,,,
5495h_ac,0.381,0.376,0.374,,,,,,,,,
5495i_ac,0.298,0.296,0.299,,,,,,,,,
5495j_ai,0.325,0.319,0.322,,,,,,,,,
5495k_ai,0.334,0.336,0.345,,,,,,,,,
5495l_ai,0.389,0.388,0.388,,,,,,,,,
5495m_ai,0.315,0.319,0.317,,,,,,,,,
5495n_ai,0.293,0.294,0.295,,,,,,,,,
5495o_aj,0.178,0.178,0.179,,,,,,,,,
5495p_aj,0.316,0.315,0.315,,,,,,,,,
5495q_aj,0.305,0.309,0.31,,,,,,,,,
5495r_al,0.173,0.171,0.172,,,,,,,,,
5495s_al,0.389,0.383,0.385,,,,,,,,,
5495t_al,0.297,0.293,0.297,,,,,,,,,
5495u_ap,0.251,0.248,0.254,,,,,,,,,
5495v_ai,0.37,0.373,0.372,,,,,,,,,
5495w_ac,0.386,0.386,0.386,,,,,,,,,
2080a_kb,0.251,0.244,0.26,,,,,,,,,
2080b_kf,0.187,0.184,0.184,,,,,,,,,
2080c_kb,0.263,0.265,0.267,,,,,,,,,
2080d_ke,0.32,0.315,0.319,,,,,,,,,
2080e_kb,0.329,0.327,0.333,,,,,,,,,
2080f_vg,0.178,0.176,0.175,,,,,,,,,
